	total	tag1	tag1/total	tag0	tag0/total	test_total
334040101	11915	1300.0	0.109106168695	10615	0.890893831305	6898.0
334064001	2817	304.0	0.107916222932	2513	0.892083777068	1767.0
334079001	1909	203.0	0.106338397067	1706	0.893661602933	1242.0
334046001	2805	292.0	0.104099821747	2513	0.895900178253	1663.0
334034001	2700	280.0	0.103703703704	2420	0.896296296296	1718.0
334020108	7002	717.0	0.102399314482	6285	0.897600685518	4077.0
334017001	7242	739.0	0.102043634355	6503	0.897956365645	0.0
334016001	5022	506.0	0.100756670649	4516	0.899243329351	0.0
334023001	4382	431.0	0.0983569146508	3951	0.901643085349	2641.0
334080102	4093	402.0	0.098216467139	3691	0.901783532861	2527.0
334033001	4522	430.0	0.0950906678461	4092	0.904909332154	2740.0
334042001	3529	333.0	0.0943610087844	3196	0.905638991216	2392.0
334019001	2756	259.0	0.093976777939	2497	0.906023222061	1744.0
334020102	1359	126.0	0.0927152317881	1233	0.907284768212	816.0
334047001	532	49.0	0.0921052631579	483	0.907894736842	341.0
334083001	4876	449.0	0.0920836751436	4427	0.907916324856	3080.0
334071001	4366	402.0	0.0920751259734	3964	0.907924874027	2600.0
334025001	2582	236.0	0.0914020139427	2346	0.908597986057	1582.0
334092001	11	1.0	0.0909090909091	10	0.909090909091	9.0
334044001	5027	449.0	0.0893176845037	4578	0.910682315496	3189.0
334070101	687	60.0	0.0873362445415	627	0.912663755459	392.0
334015001	3521	299.0	0.0849190570861	3222	0.915080942914	0.0
334043001	3251	276.0	0.0848969547831	2975	0.915103045217	1959.0
334045001	1585	134.0	0.0845425867508	1451	0.915457413249	971.0
334018001	3019	255.0	0.0844650546539	2764	0.915534945346	0.0
334107001	12	1.0	0.0833333333333	11	0.916666666667	4.0
334072001	874	71.0	0.0812356979405	803	0.918764302059	511.0
334024001	2556	204.0	0.0798122065728	2352	0.920187793427	1471.0
334075001	1214	95.0	0.0782537067545	1119	0.921746293245	869.0
334078001	2239	175.0	0.0781598928093	2064	0.921840107191	1579.0
334068001	2479	183.0	0.0738200887455	2296	0.926179911255	1599.0
334076001	1433	103.0	0.0718771807397	1330	0.92812281926	989.0
334077001	477	33.0	0.0691823899371	444	0.930817610063	310.0
334074001	1146	73.0	0.0636998254799	1073	0.93630017452	761.0
334073001	378	14.0	0.037037037037	364	0.962962962963	249.0
334108001	2	0.0	0.0	2	1.0	1.0
334110102	2	0.0	0.0	2	1.0	0.0
334111001	4	0.0	0.0	4	1.0	0.0
334106001	4	0.0	0.0	4	1.0	4.0
3340801	9	0.0	0.0	9	1.0	5.0
334102001	3	0.0	0.0	3	1.0	8.0
334100102	12	0.0	0.0	12	1.0	6.0
334100101	13	0.0	0.0	13	1.0	5.0
334093001	6	0.0	0.0	6	1.0	5.0
334090101	3	0.0	0.0	3	1.0	0.0
334112001	3	0.0	0.0	3	1.0	2.0
